user_id,first_name,last_name,email,phone_number,street,postcode,town,county,country,user_iban,user_agent_bic
60443e6d-c02c-4d95-b812-a7f6f1b32f17,Charlene,McDonald,june34@example.net,01154960960,"Flat 9
Smith rue",WV06 9LA,North Rachelstad,Cornwall,GB,GB78PWER13520705161484,IWFEGBREOVQ
3be52b8e-ab08-4c0d-9e41-c576259e3aa2,Billy,Holmes,hjones@example.org,(0121)4960394,"Studio 4
Smith stream",L6D 7HQ,Morrisshire,West Berkshire,GB,GB82AKWF15073273767977,RTKSGBBTDQ3
24bb3731-8391-45d5-8c9b-907484adf86e,Thomas,Fraser,smithharry@example.org,0131 4960641,927 Deborah drives,W74 3JW,Ahmedchester,Cheshire,GB,GB08QUVG68698617540751,OHCVGB1HVSN
81fce461-4452-4e06-8f6a-c576af8ec8d1,Teresa,Davis,dale28@example.com,+44(0)191 4960237,"Studio 95z
Patrick plaza",BA9 5LF,East Paul,Suffolk,GB,GB47ZACM64842008986302,YLCVGBZK
21c84102-cb6c-4504-afda-7c813d8e1104,Amelia,Jones,yroberts@example.org,(0121) 496 0719,"Flat 57
Gail light",BN7Y 4WH,West Bernardchester,Caernarvonshire,GB,GB31NJLV16836313475017,SPQWGBTT
8a57e4e6-06ce-4503-af52-a64be5f7babd,Sheila,Davies,jacksonallan@example.net,+441632960881,633 Price island,L4 0AU,West Bruceland,Kent,GB,GB23JAXP28327020476098,MPLXGBFVQLC
26c0a551-e3f4-4d84-b2ef-da75162d0d82,Ann,Rees,cookdanielle@example.com,+44(0)121 4960283,03 Warren wells,G6 0FA,Barkerland,City of Edinburgh,GB,GB72PMIM59062844112751,JKPEGB7L
c29bcb0f-531a-4a06-9779-b5f800877f2e,Duncan,Hughes,rita14@example.net,+44(0)1184960243,22 Mathew views,M80 0PR,Port Janiceville,Falkirk,GB,GB55HMPP06226952331761,DEWDGB6I
77ab7ae9-a765-4b6a-a9be-362eb5246cd4,Keith,Clements,brian57@example.net,+44289018479,030 Katie mountains,CB54 4BN,Doddfort,Stirling,GB,GB19EKHH82546800514919,OYHDGB6VU6H
1dc2d67b-f062-44c0-8999-101117b623ee,Danielle,Hill,leachreece@example.org,+44131 496 0423,87 Hunt trail,HP3N 7FG,Port Katherinetown,East Ayrshire,GB,GB85OQQT91668737197103,KAOLGB4587H
5b669c45-295c-44fd-b348-9e5da77b20a4,Suzanne,Brooks,grantrosemary@example.net,(01632) 960 066,"Flat 9
Whitehouse fork",E5 8SY,Smithberg,West Sussex,GB,GB29NEYI31211105645736,RJSMGBCS
577b0222-aaf2-4a3d-888b-1d12d2c0e839,Laura,Holden,xjones@example.org,(0121)4960026,8 Daly coves,MK8 7ZX,East Cliffordville,North Lanarkshire,GB,GB06IOTH76049792956520,KNIYGBVMCCI
8be3a010-5068-424d-9dbc-8bc242c85aa8,Antony,Jenkins,epritchard@example.org,+44(0)115 4960058,9 Clark stream,TN34 1TJ,Kaurview,Bedfordshire,GB,GB50LXLS80393061058034,MSVDGBCY
298e5065-0d7f-4c4f-98a3-3d1c9737583d,Jayne,Morgan,linda29@example.com,(0909)8790330,"Flat 04
Smith stream",B5 4YJ,Georgehaven,Glasgow City,GB,GB39GUYF41515140990563,JNGBGB08
5068447d-284c-4340-9c7b-c8be211714f0,Jean,Lewis,lyndabarnes@example.org,01164960690,"Studio 4
Amber centers",N3H 5YX,Williamsfurt,Shropshire,GB,GB76BXAN27921014213214,TKSGGB3E
38a69861-d24c-48d4-a1b9-a804d36b5fb3,Ann,Evans,brenda60@example.com,(0118) 496 0819,"Studio 8
Pratt harbors",AL5H 1UF,Butchershire,Glasgow City,GB,GB45IKII97031624156480,EAVQGB3D
56918cee-8fb9-44ff-971d-55a05709c2f6,Declan,Scott,cameronjones@example.org,0131 4960308,"Studio 20
Webb estates",B7E 7EU,Marymouth,Breconshire,GB,GB08PXSP04301686448692,VAMJGBHVL5N
1dc7c364-27dd-4470-ae9a-9d25a1249119,Maria,Nicholson,norman41@example.net,+44115 4960046,479 Dean circles,GY54 1ZT,Port Laura,East Renfrewshire,GB,GB78ZZWG00153399851905,MCGYGBU1WEW
